Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,What is your biological sex?,How tall are you?,How attractive are you (from 0 to 10),What is your BMI?,How many friends and colleagues do you currently have?,Rate your life right now.,Which climate do you live in?,X,Y,result
N,Y,A,Y,D,D,N,Y,Y,0,Y,N,N,N,A,N,N,N,0,N,N,N,Y,Y,Y,Y,N,N,N,Y,A,A,A,N,female,13,24,31,43,54,dry,0.5,-1.25,Cool normie
N,N,A,A,A,D,N,Y,N,D,N,N,0,N,D,N,Y,N,0,N,Y,N,Y,Y,N,Y,Y,Y,N,0,0,A,0,A,female,13,24,31,43,54,mild,-2.5,-0.25,Lame normie
A,A,Y,N,A,A,N,N,N,N,Y,D,D,Y,N,Y,Y,N,N,0,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,0,0,D,female,13,24,31,43,54,snow,3.5,2.0,Normie
Y,N,D,A,A,N,Y,Y,Y,A,Y,A,A,Y,N,N,N,N,N,0,Y,N,Y,Y,N,Y,N,N,Y,N,0,Y,A,Y,female,13,24,31,43,54,polar,-0.5,5.25,Niche normie
Y,A,0,Y,N,A,Y,Y,D,D,Y,N,A,N,N,Y,Y,Y,0,N,N,Y,Y,Y,Y,N,N,Y,Y,A,D,D,A,N,female,13,24,32,41,51,tropical,1.5,4.0,Normie
0,D,Y,D,Y,A,Y,N,A,N,N,0,Y,Y,D,N,Y,N,0,0,Y,Y,Y,Y,N,N,N,N,N,Y,N,A,A,Y,female,13,24,32,41,51,dry,-2.5,0.75,Lame normie
Y,D,N,Y,N,A,Y,N,0,A,Y,A,D,N,0,Y,Y,Y,0,0,N,Y,N,N,N,Y,N,Y,N,A,Y,0,D,N,female,13,24,32,41,51,mild,-0.5,3.0,Niche normie
0,Y,D,N,0,D,N,N,N,A,Y,Y,D,Y,N,Y,N,N,0,0,N,Y,N,N,Y,Y,Y,N,N,D,D,N,A,A,female,13,24,32,41,51,snow,2.5,-3.25,Cool normie
D,0,N,Y,Y,N,Y,Y,D,0,N,0,Y,N,Y,N,Y,Y,A,0,N,N,Y,Y,Y,N,Y,Y,N,N,Y,A,Y,Y,female,13,24,32,41,51,polar,-1.5,-1.0,Lame normie
Y,N,0,Y,A,0,N,Y,D,0,Y,N,N,Y,A,N,N,N,A,A,N,Y,N,N,Y,Y,N,N,Y,N,Y,Y,D,N,female,13,24,32,41,52,tropical,4.0,-4.25,Cool normie
N,N,Y,Y,A,Y,N,Y,D,N,N,A,A,N,D,Y,N,N,D,A,N,N,Y,N,N,N,Y,N,Y,0,D,D,Y,0,female,13,24,32,41,52,dry,2.0,-0.75,Cool normie
A,0,0,N,N,A,Y,N,N,N,Y,Y,A,N,0,N,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,D,D,A,A,A,female,13,24,32,41,52,mild,0.0,1.5,Niche normie
0,A,D,0,Y,D,Y,N,Y,A,N,A,D,N,N,Y,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,A,0,0,Y,N,female,13,24,32,41,52,snow,1.0,2.5,Normie
D,Y,N,Y,0,0,Y,N,A,A,N,0,N,N,A,N,N,Y,Y,D,N,Y,Y,Y,N,Y,Y,Y,N,A,D,Y,N,Y,female,13,24,32,41,52,polar,1.0,-0.25,Cool normie
0,0,Y,D,0,Y,Y,N,A,D,Y,Y,D,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,D,D,Y,0,D,female,13,24,32,41,53,tropical,4.5,-0.25,Cool normie
Y,D,D,N,D,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,0,A,Y,Y,N,N,N,N,Y,Y,Y,D,A,A,Y,N,female,13,24,32,41,53,dry,0.5,-1.75,Cool normie
N,A,Y,N,N,0,N,N,A,A,Y,Y,N,Y,N,N,N,N,D,0,Y,N,N,N,N,N,N,Y,Y,A,N,A,D,N,female,13,24,32,41,53,mild,-2.5,1.25,Niche normie
Y,Y,Y,D,N,D,Y,Y,Y,D,Y,D,A,N,0,N,Y,N,N,D,Y,Y,N,N,Y,N,Y,N,N,D,0,0,0,D,female,13,24,32,41,53,snow,0.5,-2.0,Cool normie
D,Y,A,0,0,0,Y,N,D,0,N,A,Y,Y,D,N,Y,Y,Y,A,Y,Y,Y,Y,N,Y,Y,N,N,D,A,D,0,D,female,13,24,32,41,53,polar,0.5,-1.0,Cool normie
N,N,D,N,0,0,N,N,N,N,Y,Y,D,N,D,Y,Y,Y,D,Y,N,N,Y,N,Y,N,Y,N,Y,0,D,D,A,A,female,13,24,32,41,54,tropical,3.5,-1.25,Cool normie
N,Y,D,A,D,A,N,Y,Y,0,Y,N,0,Y,A,N,Y,Y,Y,A,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,A,female,13,24,32,41,54,dry,4.5,1.25,Normie
0,D,D,D,D,N,N,Y,0,N,N,D,0,Y,Y,Y,N,N,A,0,N,Y,N,Y,Y,N,Y,Y,Y,N,0,N,A,A,female,13,24,32,41,54,mild,2.5,-7.25,Sadboy
A,N,Y,N,A,N,N,Y,D,A,N,N,Y,Y,0,Y,Y,N,D,D,N,N,Y,Y,N,Y,Y,N,N,0,D,0,0,0,female,13,24,32,41,54,snow,0.5,3.0,Niche normie
A,A,0,A,N,A,Y,N,N,Y,N,D,A,N,Y,N,Y,Y,0,N,N,N,Y,Y,N,N,Y,N,N,A,Y,Y,0,D,female,13,24,32,41,54,polar,-0.5,3.25,Niche normie
0,N,A,0,A,0,Y,Y,A,0,N,0,D,N,Y,Y,Y,N,0,D,Y,Y,N,N,N,Y,Y,N,N,A,D,Y,A,N,female,13,24,32,42,51,tropical,0.5,3.5,Niche normie
N,Y,A,A,N,Y,N,N,D,N,N,D,A,N,D,Y,Y,Y,Y,0,Y,N,N,N,Y,Y,N,N,Y,0,Y,Y,N,A,female,13,24,32,42,51,dry,0.5,0.5,Cool normie
N,A,0,0,D,N,N,N,N,0,Y,Y,Y,Y,D,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,D,Y,A,Y,D,female,13,24,32,42,51,mild,0.5,-1.5,Cool normie
A,Y,N,N,N,A,N,Y,D,N,N,N,Y,Y,A,N,Y,Y,0,N,N,N,Y,N,Y,N,Y,Y,Y,A,A,N,N,D,female,13,24,32,42,51,snow,2.5,1.25,Normie
D,Y,A,0,D,A,Y,N,D,A,Y,Y,0,N,A,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,A,A,N,A,D,female,13,24,32,42,51,polar,5.5,1.25,Turbo normie
N,D,0,A,0,D,N,Y,N,0,Y,A,D,N,0,Y,Y,Y,D,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,D,N,0,female,13,24,32,42,52,tropical,-0.5,2.0,Niche normie
N,N,Y,Y,A,0,Y,Y,D,D,N,Y,D,Y,D,N,Y,N,N,A,N,N,Y,Y,Y,N,N,N,Y,D,A,0,A,A,female,13,24,32,42,52,dry,1.5,-0.25,Cool normie
N,0,0,D,Y,N,Y,N,N,D,Y,D,Y,N,Y,N,Y,N,Y,D,N,N,Y,Y,N,N,N,Y,Y,Y,0,D,Y,N,female,13,24,32,42,52,mild,-0.5,-5.0,Lame normie
D,D,N,N,N,Y,N,N,A,N,Y,0,D,Y,D,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,A,0,N,D,female,13,24,32,42,52,snow,0.5,-0.25,Cool normie
A,D,A,N,Y,Y,Y,Y,A,D,Y,0,0,N,N,Y,N,N,D,0,Y,N,N,Y,N,Y,Y,N,Y,A,Y,A,N,D,female,13,24,32,42,52,polar,-0.5,3.0,Niche normie
Y,N,A,D,A,Y,Y,Y,Y,A,N,N,N,N,Y,Y,Y,N,A,A,N,Y,Y,Y,N,Y,N,N,Y,A,N,Y,Y,A,female,13,24,32,42,53,tropical,3.5,1.25,Normie
0,N,N,N,A,A,Y,N,Y,Y,Y,D,N,N,0,N,Y,Y,0,N,Y,N,Y,N,N,Y,N,Y,N,0,D,D,0,Y,female,13,24,32,42,53,dry,-2.5,1.0,Lame normie
D,0,N,A,A,Y,Y,Y,N,N,N,Y,N,N,A,Y,N,N,Y,A,N,N,N,N,Y,N,N,N,N,A,N,A,N,D,female,13,24,32,42,53,mild,-0.5,-2.75,Lame normie
Y,D,Y,A,D,N,Y,Y,0,Y,N,A,Y,Y,A,N,Y,N,0,0,N,N,N,N,N,Y,Y,N,Y,0,0,Y,0,A,female,13,24,32,42,53,snow,2.5,1.0,Cool normie
A,D,Y,Y,A,0,N,Y,D,Y,N,A,Y,Y,N,N,Y,Y,D,A,Y,N,Y,Y,N,N,Y,N,Y,D,N,A,Y,D,female,13,24,32,42,53,polar,-0.5,2.75,Niche normie
Y,A,N,D,D,D,N,Y,N,Y,N,Y,N,Y,0,Y,Y,Y,D,Y,N,N,N,Y,Y,N,N,N,Y,A,D,0,Y,Y,female,13,24,32,42,54,tropical,0.5,0.75,Cool normie
Y,A,A,0,A,Y,N,N,D,Y,Y,D,D,Y,D,Y,N,Y,N,0,N,Y,Y,N,N,N,N,N,Y,A,0,A,0,0,female,13,24,32,42,54,dry,3.5,3.75,Normie
D,D,A,0,0,Y,Y,Y,0,D,N,0,D,Y,D,N,N,Y,A,D,Y,Y,Y,Y,N,N,N,N,N,Y,A,0,N,A,female,13,24,32,42,54,mild,-1.5,0.25,Lame normie
D,N,N,0,Y,A,N,N,0,D,Y,A,0,N,Y,N,Y,N,N,D,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,D,female,13,24,32,42,54,snow,-2.5,-2.0,Lame normie
D,Y,0,D,A,N,N,N,A,N,N,D,N,N,A,N,N,Y,Y,D,Y,Y,Y,Y,N,N,Y,Y,Y,N,A,A,0,N,female,13,24,32,42,54,polar,0.5,-3.5,Cool normie
Y,0,A,Y,N,A,Y,Y,Y,D,Y,N,D,Y,N,N,N,N,0,D,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,A,A,female,13,24,32,43,51,tropical,0.5,2.5,Niche normie
0,Y,A,D,A,D,Y,Y,0,D,N,N,0,Y,Y,Y,Y,Y,A,D,N,Y,Y,N,Y,Y,N,Y,Y,N,A,A,Y,Y,female,13,24,32,43,51,dry,4.5,3.0,Normie
N,D,D,N,D,D,Y,N,D,D,Y,A,D,N,N,N,Y,Y,A,N,N,N,Y,N,N,Y,Y,Y,N,0,A,D,0,D,female,13,24,32,43,51,mild,0.5,-6.25,Edge Lord
N,N,Y,0,D,Y,N,Y,D,N,N,A,0,N,N,Y,Y,Y,Y,0,N,N,Y,Y,Y,Y,N,N,Y,D,N,D,N,Y,female,13,24,32,43,51,snow,2.5,-1.75,Cool normie
Y,N,Y,A,0,A,Y,N,0,D,Y,0,A,N,D,Y,N,Y,Y,0,Y,Y,N,Y,N,N,Y,Y,Y,A,A,0,Y,D,female,13,24,32,43,51,polar,-0.5,3.0,Niche normie
0,0,0,N,0,A,Y,Y,A,0,N,N,A,Y,A,N,N,N,D,0,Y,N,Y,Y,Y,N,Y,N,Y,Y,D,A,N,D,female,13,24,32,43,52,tropical,0.5,1.0,Cool normie
D,Y,0,A,N,0,Y,Y,0,D,N,N,0,Y,A,N,N,N,0,A,Y,Y,N,N,Y,Y,Y,Y,Y,N,A,A,N,N,female,13,24,32,43,52,dry,2.5,-3.5,Cool normie
A,A,Y,D,A,N,N,Y,Y,D,Y,A,D,N,N,N,Y,N,A,0,Y,N,Y,Y,Y,Y,Y,Y,N,D,N,N,0,N,female,13,24,32,43,52,mild,-1.5,-1.0,Lame normie
0,0,Y,N,D,N,Y,N,A,D,N,Y,N,Y,Y,N,N,Y,0,A,Y,Y,N,Y,Y,N,N,Y,N,0,N,0,N,0,female,13,24,32,43,52,snow,-2.5,-3.5,Lame normie
Y,D,D,A,0,Y,N,Y,0,N,N,Y,D,Y,D,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,0,N,Y,Y,female,13,24,32,43,52,polar,1.5,-0.5,Cool normie
N,0,A,0,N,D,Y,Y,0,N,Y,0,A,Y,0,Y,Y,Y,A,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,D,0,female,13,24,32,43,53,tropical,2.5,2.0,Normie
D,D,Y,N,0,D,N,Y,0,N,N,N,D,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,A,N,0,N,female,13,24,32,43,53,dry,2.5,-5.0,Cool normie
D,0,A,N,0,N,N,Y,D,A,N,Y,0,Y,0,N,Y,N,0,A,N,N,N,N,Y,Y,Y,Y,N,0,N,N,0,D,female,13,24,32,43,53,mild,0.5,-3.25,Cool normie
D,N,0,N,N,Y,Y,Y,A,N,N,0,0,Y,A,Y,Y,N,A,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,D,female,13,24,32,43,53,snow,0.5,-1.25,Cool normie
0,D,0,Y,Y,Y,N,N,0,D,Y,D,Y,N,A,Y,N,Y,A,A,N,N,N,N,N,Y,N,N,Y,N,A,Y,Y,N,female,13,24,32,43,53,polar,1.5,-4.5,Cool normie
Y,A,A,D,Y,A,N,N,Y,A,Y,Y,0,N,0,Y,Y,N,N,A,Y,N,Y,N,N,N,Y,N,N,A,Y,N,N,D,female,13,24,32,43,54,tropical,-1.5,2.0,Niche normie
A,0,Y,Y,Y,0,Y,Y,D,0,N,A,A,Y,0,N,N,N,0,D,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,0,D,D,female,13,24,32,43,54,dry,2.5,1.75,Normie
0,A,A,0,N,A,N,N,D,D,Y,N,D,Y,Y,Y,N,N,D,D,N,Y,N,Y,N,Y,N,N,Y,D,Y,A,A,Y,female,13,24,32,43,54,mild,2.5,1.25,Normie
D,D,D,D,D,Y,Y,Y,0,0,Y,Y,Y,N,0,N,N,Y,D,Y,Y,N,Y,N,Y,Y,N,Y,N,0,N,D,A,A,female,13,24,32,43,54,snow,-1.5,-2.5,Lame normie
N,Y,D,N,N,Y,N,Y,Y,A,N,N,0,N,Y,Y,N,N,N,A,N,N,Y,Y,N,Y,N,N,N,Y,D,N,N,A,female,13,24,32,43,54,polar,-0.5,-3.0,Lame normie
0,Y,0,0,Y,0,Y,N,A,0,Y,N,0,Y,N,N,Y,N,Y,D,N,Y,Y,N,N,Y,Y,N,N,Y,0,Y,Y,A,female,13,24,33,41,51,tropical,1.5,2.75,Normie
N,A,Y,A,0,A,Y,Y,Y,Y,N,N,0,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,0,0,Y,female,13,24,33,41,51,dry,-1.5,3.5,Niche normie
0,Y,D,0,0,A,N,Y,A,A,N,D,A,N,D,Y,Y,Y,N,0,N,N,N,Y,N,N,N,N,Y,N,N,N,A,D,female,13,24,33,41,51,mild,-2.5,3.0,Niche normie
Y,N,N,Y,0,0,Y,Y,Y,0,N,Y,Y,N,D,Y,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,D,Y,Y,D,A,female,13,24,33,41,51,snow,-2.5,0.5,Lame normie
D,N,A,A,0,Y,N,Y,N,0,N,A,N,Y,Y,N,Y,N,A,D,Y,N,N,N,N,Y,N,N,Y,0,Y,0,0,N,female,13,24,33,41,51,polar,-2.5,0.0,Lame normie
N,D,Y,Y,A,D,Y,Y,A,D,N,N,N,N,N,Y,Y,Y,A,A,N,N,N,Y,N,Y,N,N,N,Y,N,Y,0,N,female,13,24,33,41,52,tropical,-3.0,-1.0,Lame normie
D,A,D,0,Y,A,Y,N,N,N,N,N,Y,Y,D,N,N,Y,N,A,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,A,A,female,13,24,33,41,52,dry,3.0,0.25,Cool normie
D,D,N,N,A,A,Y,N,N,D,N,Y,0,N,0,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,N,Y,D,N,D,female,13,24,33,41,52,mild,-2.0,-4.5,Lame normie
0,D,A,A,N,D,N,Y,A,0,Y,A,A,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,0,Y,0,0,D,female,13,24,33,41,52,snow,-4.0,1.75,Failed normie
A,N,Y,N,Y,Y,N,Y,Y,Y,N,D,Y,N,0,Y,Y,Y,Y,A,Y,Y,N,N,Y,Y,N,Y,Y,D,N,A,Y,D,female,13,24,33,41,52,polar,0.0,0.25,Cool normie
0,D,N,N,A,Y,N,N,Y,N,Y,A,0,N,N,N,N,Y,D,0,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,0,D,D,A,female,13,24,33,41,53,tropical,0.5,0.5,Cool normie
N,A,D,D,A,A,N,Y,N,A,Y,N,N,N,D,Y,N,N,0,0,Y,N,Y,N,Y,Y,Y,Y,N,0,A,A,A,A,female,13,24,33,41,53,dry,-1.5,2.25,Niche normie
A,0,N,N,A,0,N,N,0,N,Y,0,Y,Y,D,Y,N,Y,N,A,Y,N,N,Y,Y,Y,Y,Y,Y,A,D,N,0,0,female,13,24,33,41,53,mild,-1.5,1.75,Niche normie
Y,0,A,N,0,0,N,N,D,Y,Y,0,0,Y,Y,N,N,Y,0,D,N,Y,Y,N,N,Y,N,N,Y,N,D,N,D,D,female,13,24,33,41,53,snow,3.5,-1.5,Cool normie
A,N,D,Y,Y,N,Y,Y,N,0,N,0,A,Y,D,Y,N,N,D,D,Y,Y,N,N,Y,N,N,N,Y,N,A,A,N,D,female,13,24,33,41,53,polar,0.5,2.5,Niche normie
0,N,Y,Y,0,Y,Y,N,N,Y,N,D,Y,N,D,N,N,Y,0,A,N,N,Y,Y,Y,N,Y,N,Y,0,Y,D,0,D,female,13,24,33,41,54,tropical,1.5,-3.25,Cool normie
N,Y,N,N,Y,A,N,Y,D,D,N,D,0,N,D,N,N,Y,N,A,Y,Y,Y,N,Y,Y,Y,N,Y,Y,0,N,Y,A,female,13,24,33,41,54,dry,3.5,-2.5,Cool normie
0,D,N,A,N,0,N,Y,Y,Y,N,N,A,N,A,N,N,Y,N,0,N,N,N,Y,Y,Y,N,N,Y,Y,D,N,A,A,female,13,24,33,41,54,mild,0.5,0.0,Cool normie
D,Y,N,A,A,N,N,Y,Y,N,N,D,A,Y,Y,N,N,N,0,N,Y,Y,N,Y,N,N,Y,N,N,0,N,D,N,A,female,13,24,33,41,54,snow,-2.5,-1.75,Lame normie
0,N,A,0,A,Y,Y,Y,D,Y,Y,0,A,Y,A,Y,N,N,N,0,Y,Y,N,N,Y,N,Y,N,N,D,0,Y,A,0,female,13,24,33,41,54,polar,-0.5,3.0,Niche normie
Y,N,D,A,D,Y,N,Y,N,A,Y,Y,N,N,Y,N,N,Y,D,Y,Y,N,N,Y,Y,Y,Y,Y,Y,D,N,D,D,N,female,13,24,33,42,51,tropical,-1.5,-2.0,Lame normie
N,0,N,D,N,Y,N,N,A,A,Y,0,Y,N,D,N,N,N,D,A,N,N,N,Y,N,N,Y,N,Y,0,0,A,0,A,female,13,24,33,42,51,dry,-0.5,-1.25,Lame normie
A,A,A,D,A,0,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,D,N,N,N,N,N,Y,N,N,Y,Y,A,N,N,0,N,female,13,24,33,42,51,mild,-0.5,4.25,Niche normie
A,A,Y,D,Y,A,N,Y,D,Y,Y,Y,Y,N,N,Y,N,N,D,D,N,Y,N,Y,Y,Y,Y,N,Y,N,N,0,A,0,female,13,24,33,42,51,snow,3.5,3.5,Normie
0,Y,N,A,N,N,N,Y,D,N,Y,A,D,Y,0,N,Y,Y,A,D,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,0,Y,female,13,24,33,42,51,polar,-2.5,1.75,Niche normie
0,N,D,A,0,D,Y,Y,Y,D,N,N,0,N,D,Y,N,Y,N,D,Y,N,N,N,N,N,N,Y,Y,Y,D,0,D,N,female,13,24,33,42,52,tropical,-3.5,0.0,Lame normie
D,D,D,N,N,A,N,Y,0,Y,N,D,A,N,N,N,Y,Y,A,0,N,Y,N,N,N,Y,Y,N,N,N,A,A,Y,0,female,13,24,33,42,52,dry,1.5,-2.5,Cool normie
0,N,0,Y,D,Y,Y,N,0,N,Y,0,0,N,D,N,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,A,Y,female,13,24,33,42,52,mild,0.5,1.0,Cool normie
0,0,A,Y,Y,A,Y,N,N,0,N,D,N,N,Y,Y,N,Y,N,D,Y,Y,N,N,Y,N,N,N,Y,N,D,Y,A,D,female,13,24,33,42,52,snow,0.5,1.0,Cool normie
N,Y,Y,A,0,A,Y,N,0,Y,N,D,N,Y,Y,N,N,Y,Y,A,N,N,Y,Y,Y,Y,N,N,N,0,D,A,N,0,female,13,24,33,42,52,polar,-0.5,-1.25,Lame normie
N,Y,A,0,D,0,Y,Y,A,Y,Y,0,N,Y,N,N,N,N,D,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,0,0,D,female,13,24,33,42,53,tropical,-1.5,2.75,Niche normie
N,N,0,0,Y,D,N,N,A,A,Y,N,N,Y,N,N,Y,N,A,D,Y,Y,Y,N,N,N,N,N,N,A,Y,Y,0,D,female,13,24,33,42,53,dry,-1.5,-0.5,Lame normie
Y,Y,N,Y,0,A,N,N,Y,D,N,N,A,N,N,N,Y,N,D,Y,N,N,Y,N,N,Y,Y,Y,N,D,0,A,N,N,female,13,24,33,42,53,mild,-0.5,-2.0,Lame normie
N,0,0,D,D,A,N,N,N,Y,Y,Y,Y,N,0,Y,Y,Y,D,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,A,0,Y,female,13,24,33,42,53,snow,-1.5,1.75,Niche normie
Y,Y,0,A,0,D,N,N,0,D,N,0,A,N,N,Y,Y,Y,A,N,N,N,Y,Y,N,Y,N,N,N,D,D,N,A,A,female,13,24,33,42,53,polar,-1.5,-1.0,Lame normie
0,N,Y,A,A,A,Y,Y,N,D,Y,A,0,Y,Y,N,N,Y,N,A,N,N,Y,Y,Y,N,N,N,N,Y,A,A,Y,A,female,13,24,33,42,54,tropical,-1.5,5.75,Niche normie
D,0,A,Y,A,0,N,N,Y,A,Y,Y,0,N,0,N,N,N,Y,0,Y,Y,N,Y,Y,Y,Y,Y,Y,N,A,Y,Y,D,female,13,24,33,42,54,dry,0.5,-0.75,Cool normie
D,D,Y,D,D,Y,N,Y,D,Y,Y,Y,D,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,A,D,N,Y,N,female,13,24,33,42,54,mild,1.5,-3.0,Cool normie
A,0,0,D,D,N,N,N,D,0,Y,0,D,Y,N,N,Y,Y,0,A,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,0,N,female,13,24,33,42,54,snow,-1.5,-2.5,Lame normie
Y,A,Y,N,Y,A,N,N,N,A,N,Y,N,N,N,N,Y,Y,Y,D,Y,N,Y,N,N,Y,N,N,Y,0,A,D,A,N,female,13,24,33,42,54,polar,-0.5,2.5,Niche normie
0,D,D,0,Y,D,N,N,Y,N,N,A,0,N,A,N,Y,Y,A,A,Y,N,N,Y,Y,N,N,N,Y,D,0,A,D,0,female,13,24,33,43,51,tropical,-2.5,-6.0,Edge Lord
0,A,Y,A,D,D,Y,Y,0,A,Y,Y,N,N,Y,N,Y,N,D,Y,Y,N,N,Y,Y,N,N,Y,Y,0,N,N,Y,A,female,13,24,33,43,51,dry,-3.5,1.75,Failed normie
N,D,N,0,N,0,Y,Y,Y,Y,N,N,D,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,A,Y,Y,female,13,24,33,43,51,mild,-2.5,-3.0,Lame normie
N,A,N,Y,0,0,N,Y,D,0,Y,Y,N,N,Y,Y,Y,N,Y,0,Y,N,N,N,N,N,N,Y,Y,N,N,0,A,0,female,13,24,33,43,51,snow,-3.5,-1.0,Lame normie
D,A,N,0,Y,N,N,Y,Y,Y,N,Y,A,Y,A,Y,Y,Y,0,Y,N,N,N,N,Y,N,Y,Y,Y,Y,D,A,0,Y,female,13,24,33,43,51,polar,0.5,2.75,Niche normie
A,A,A,0,Y,Y,Y,N,N,N,Y,A,Y,Y,A,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,D,A,Y,Y,0,female,13,24,33,43,52,tropical,-1.5,4.5,Niche normie
Y,D,D,A,Y,D,Y,N,A,0,Y,0,A,N,Y,Y,Y,Y,0,A,Y,Y,N,N,N,Y,Y,N,Y,D,D,N,0,Y,female,13,24,33,43,52,dry,1.5,-0.75,Cool normie
A,N,A,D,D,Y,Y,Y,N,N,Y,0,Y,Y,A,Y,N,Y,D,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,D,A,Y,0,female,13,24,33,43,52,mild,0.5,3.0,Niche normie
A,A,D,N,Y,Y,N,N,Y,Y,Y,N,A,Y,Y,Y,N,N,Y,A,N,N,Y,Y,Y,Y,N,Y,Y,0,A,N,N,D,female,13,24,33,43,52,snow,0.5,-1.5,Cool normie
N,D,A,0,Y,Y,N,N,N,0,Y,0,A,N,N,Y,Y,N,D,N,N,Y,N,N,Y,N,N,N,Y,A,D,D,Y,D,female,13,24,33,43,52,polar,2.5,-0.25,Cool normie
0,Y,A,Y,A,A,Y,Y,A,A,Y,A,0,N,Y,N,N,N,A,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,A,N,N,female,13,24,33,43,53,tropical,-2.5,5.25,Niche normie
Y,N,N,N,0,N,N,N,A,0,Y,A,Y,N,A,Y,Y,Y,D,D,N,Y,Y,Y,N,N,N,Y,Y,D,0,0,Y,0,female,13,24,33,43,53,dry,0.5,3.25,Niche normie
0,D,N,A,Y,D,Y,Y,D,D,Y,N,D,N,0,N,N,Y,D,N,N,N,Y,Y,N,N,Y,Y,Y,D,Y,A,Y,D,female,13,24,33,43,53,mild,-0.5,-1.25,Lame normie
N,Y,Y,N,D,Y,N,N,Y,D,N,N,N,N,0,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,A,0,N,female,13,24,33,43,53,snow,-0.5,-5.0,Lame normie
0,A,A,N,Y,N,N,Y,Y,D,Y,D,D,N,D,Y,N,Y,D,0,Y,Y,N,Y,N,N,Y,N,Y,0,A,0,D,Y,female,13,24,33,43,53,polar,-0.5,2.5,Niche normie
A,A,A,Y,N,Y,N,N,D,N,Y,0,Y,N,A,Y,N,N,N,D,Y,Y,Y,N,N,Y,N,N,N,A,N,D,Y,D,female,13,24,33,43,54,tropical,-0.5,0.25,Lame normie
